sampling_round,site,date,clade,bee_id,sex,collected_specimen,collected_pollen,id_within_sitebydate,unique_specimen_id,overall_unique_can_assign_w_R,plant_netted_from_famly,plant_netted_from_genus,plant_netted_from_sci_name,notes_pollen_and_or_bee
2,balaclava,5.25.2021,,Bombus melanopygus,f,n,y,1,NA,1,Fabaceae,Trifolium,Trifolium repens,
2,balaclava,5.25.2021,,Apis mellifera,f,n,y,2,NA,2,Fabaceae,Trifolium,Trifolium repens,
2,balaclava,5.25.2021,,Bombus vosnesenskii,f,y,y,3,JCU2021_1,3,Fabaceae,Trifolium,Trifolium repens,not really sure on this one the pollen looks very oblate not leaning-prolate of trifolium
2,balaclava,5.25.2021,,Apis mellifera,f,n,y,4,NA,4,Fabaceae,Trifolium,Trifolium repens,
2,balaclava,5.25.2021,,Bombus vosnesenskii,f,y,y,5,JCU2021_2,5,Fabaceae,Trifolium,Trifolium repens,
2,balaclava,5.25.2021,,Apis mellifera,f,n,y,6,NA,6,Fabaceae,Trifolium,Trifolium repens,
2,balaclava,5.25.2021,,Agapostemon,f,y,y,7,JCU2021_3,7,Fabaceae,Trifolium,Trifolium repens,
2,balaclava,5.25.2021,,Apis mellifera,f,n,y,8,NA,8,Fabaceae,Trifolium,Trifolium repens,
2,balaclava,5.25.2021,,Bombus vosnesenskii,f,y,y,9,JCU2021_4,9,Fabaceae,Trifolium,Trifolium repens,
2,bobolink,5.26.2021,,Andrena,f,y,y,1,JCU2021_5,10,Rosaceae,Crataegus,Crataegus monogyna,presumably Crataegus
2,bobolink,5.26.2021,,Bombus vosnesenskii,f,y,y,2,JCU2021_6,11,Fabaceae,Trifolium,Trifolium repens,
2,bobolink,5.26.2021,,Bombus ?,f,y,y,3,JCU2021_7,12,Fabaceae,Trifolium,Trifolium repens,collected for ID
2,bobolink,5.26.2021,,Bombus ?,f,y,y,4,JCU2021_8,13,Fabaceae,Trifolium,Trifolium repens,collected for ID
2,bobolink,5.26.2021,,Bombus ?,f,y,y,5,JCU2021_9,14,Fabaceae,Trifolium,Trifolium repens,collected for ID
2,bobolink,5.26.2021,,Apis mellifera,f,y,y,6,JCU2021_10,15,Fabaceae,Trifolium,Trifolium repens,
2,bobolink,5.26.2021,,Bombus ?,f,y,y,7,JCU2021_11,16,Fabaceae,Trifolium,Trifolium repens,collected for ID
2,bobolink,5.26.2021,,Bombus ?,f,y,y,8,JCU2021_12,17,Asteraceae,Bellis,Bellis perennis,collected for ID
2,bobolink,5.26.2021,Syrphidae,Eupeodes fumipennis,f,y,y,9,JCU2021_13,18,Asteraceae,Bellis,Bellis perennis,
2,bobolink,5.26.2021,,Andrena,f,y,y,10,JCU2021_14,19,Asteraceae,Bellis,Bellis perennis,
2,bobolink,5.26.2021,,Andrena,f,y,y,11,JCU2021_15,20,Asteraceae,Bellis,Bellis perennis,
2,bobolink,5.26.2021,,Andrena,f,y,y,12,JCU2021_16,21,Asteraceae,Bellis,Bellis perennis,
2,china creek,5.29.2021,,Osmia,f,y,y,1,JCU2021_17,22,Fabaceae,Trifolium,Trifolium repens,
2,china creek,5.29.2021,,Apis mellifera,f,n,y,2,NA,23,Fabaceae,Trifolium,Trifolium repens,"lots of unknown pollen, on this slide; not very many actual grains of pollen"
2,china creek,5.29.2021,,Osmia,f,y,y,3,JCU2021_18,24,Fabaceae,Trifolium,Trifolium repens,
2,china creek,5.29.2021,,Bombus impatiens,f,n,y,4,NA,25,Fabaceae,Trifolium,Trifolium repens,
2,china creek,5.29.2021,,Bombus vosnesenskii,f,n,y,5,NA,27,Fabaceae,Trifolium,Trifolium repens,
2,china creek,5.29.2021,,Halictus,f,y,y,6,JCU2021_19,28,Fabaceae,Trifolium,Trifolium repens,
2,china creek,5.29.2021,,Apis mellifera,f,n,y,7,NA,29,Fabaceae,Trifolium,Trifolium repens,
2,china creek,5.29.2021,,Apis mellifera,f,n,y,8,NA,30,Fabaceae,Trifolium,Trifolium repens,
2,china creek,5.29.2021,,Lasioglossum,f,y,y,14,JCU2021_20,31,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Lasioglossum,f,y,y,15,JCU2021_21,32,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Apis mellifera,f,n,y,16,NA,33,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Bombus vosnesenskii,f,n,y,17,NA,34,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Halictus,NA,y,y,18,JCU2021_22,35,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Halictus,NA,y,y,19,JCU2021_23,36,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Melecta,f,y,y,20,JCU2021_24,37,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Bombus impatiens,f,n,y,21,NA,38,Ranunculaceae,Ranunculus,Ranunculus repens,
2,china creek,5.29.2021,,Lasioglossum,f,y,y,22,JCU2021_25,39,Limnanthaceae,Limnanthes,Limnanthes douglasii,
2,china creek,5.29.2021,,Apis mellifera,f,n,y,23,NA,40,Limnanthaceae,Limnanthes,Limnanthes douglasii,
2,china creek,5.29.2021,,Halictus,f,y,y,24,JCU2021_26,41,Limnanthaceae,Limnanthes,Limnanthes douglasii,
2,china creek,5.29.2021,,Apis mellifera,f,n,y,25,NA,42,Limnanthaceae,Limnanthes,Limnanthes douglasii,
2,china creek,5.29.2021,,Apis mellifera,f,n,y,26,NA,43,Limnanthaceae,Limnanthes,Limnanthes douglasii,
2,china creek,5.29.2021,,Nomada,f,y,y,30,JCU2021_27,44,Ranunculaceae,Ranunculus,Ranunculus acris,
2,china creek,5.29.2021,,Agapostemon,f,y,y,31,JCU2021_28,45,Caryophyllaceae,Dianthus,Dianthus barbatus,"presumably Dianthus barbatus which it was caught off of, could be some other Dianthus"
2,china creek,5.29.2021,,Apis mellifera,NA,n,n,32,NA,46,Limnanthaceae,Limnanthes,Limnanthes douglasii,"duplicate, not collected"
2,china creek,5.29.2021,,Apis mellifera,NA,n,n,33,NA,47,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,china creek,5.29.2021,,Apis mellifera,NA,n,n,34,NA,48,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,china creek,5.29.2021,,Apis mellifera,NA,n,n,35,NA,49,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,china creek,5.29.2021,,Apis mellifera,NA,n,n,36,NA,50,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,china creek,5.29.2021,,Apis mellifera,NA,n,n,37,NA,51,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,china creek,5.29.2021,,Apis mellifera,NA,n,n,38,NA,52,Limnanthaceae,Limnanthes,Limnanthes douglasii,"duplicate, not collected"
2,falaise,5.22.2021,,Andrena,f,y,y,1,JCU2021_29,53,Rosaceae,Physocarpus,Physocarpus capitatus,confirm difference between Rosa and Prunus pollen and Physocarpus pollen (others should be more spherical rather than oblate)
2,falaise,5.22.2021,,Andrena,f,y,y,2,JCU2021_30,54,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,3,JCU2021_31,55,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,4,JCU2021_32,56,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,5,JCU2021_33,57,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,6,JCU2021_34,58,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,7,JCU2021_35,59,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Lasioglossum,f,y,y,8,JCU2021_36,60,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,9,JCU2021_37,61,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,10,JCU2021_38,62,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Lasioglossum,f,y,y,11,JCU2021_39,63,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,12,JCU2021_40,64,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,13,JCU2021_41,65,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,Syrphidae,Eristalis tenax,f,y,y,14,JCU2021_42,66,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Nomada,f,y,y,15,JCU2021_43,67,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Andrena,f,y,y,16,JCU2021_44,68,Rosaceae,Physocarpus,Physocarpus capitatus,
2,falaise,5.22.2021,,Bombus mixtus,f,n,y,17,NA,69,Caprifoliaceae,Lonicera,Lonicera involucrata,
2,falaise,5.22.2021,,Andrena,f,y,y,18,JCU2021_45,70,Asteraceae,Bellis,Bellis perennis,
2,falaise,5.22.2021,,Lasioglossum,f,y,y,19,JCU2021_46,71,Rosaceae,Rosa,Rosa nutkana,"(presumably Rosa, looks super similar to Physocarpus)"
2,falaise,5.22.2021,,Lasioglossum,f,y,y,20,JCU2021_47,72,Rosaceae,Rosa,Rosa nutkana,
2,falaise,5.22.2021,,Ceratina,f,y,y,21,JCU2021_48,73,Rosaceae,Rosa,Rosa nutkana,
2,falaise,5.22.2021,,Bombus impatiens,f,n,y,22,NA,74,Rosaceae,Rosa,Rosa nutkana,
2,falaise,5.22.2021,,Apis mellifera,f,n,y,23,NA,75,Rosaceae,Rosa,Rosa nutkana,
2,falaise,5.22.2021,,Apis mellifera,f,n,y,24,NA,76,Ranunculaceae,Ranunculus,Ranunculus repens,
2,falaise,5.22.2021,,Lasioglossum,f,y,y,25,JCU2021_49,77,Ranunculaceae,Ranunculus,Ranunculus repens,
2,falaise,5.22.2021,,Apis mellifera,f,n,y,26,NA,78,Ranunculaceae,Ranunculus,Ranunculus repens,
2,falaise,5.22.2021,,Apis mellifera,f,y,y,27,JCU2021_50,79,Cornaceae,Cornus,Cornus stolonifera,
2,gordon,5.28.2021,,Apis mellifera,f,n,y,1,NA,80,Fabaceae,Trifolium,Trifolium repens,"everything stained really dark, looks like all trifolium but of two different sizes?"
2,gordon,5.28.2021,,Bombus mixtus,f,n,y,2,NA,81,Fabaceae,Trifolium,Trifolium repens,
2,gordon,5.28.2021,Syrphidae,Syritta pipiens,m,y,y,3,JCU2021_51,82,Asteraceae,Bellis,Bellis perennis,
2,kensington,5.29.2021,,Apis mellifera,f,n,y,1,NA,83,Fabaceae,Trifolium,Trifolium repens,
2,kensington,5.29.2021,,Apis mellifera,f,n,y,2,NA,84,Fabaceae,Trifolium,Trifolium repens,
2,kensington,5.29.2021,,Bombus mixtus,f,n,y,3,NA,85,Fabaceae,Trifolium,Trifolium repens,
2,kensington,5.29.2021,,Bombus vosnesenskii,f,n,y,4,NA,86,Ranunculaceae,Ranunculus,Ranunculus repens,
2,killarney,5.28.2021,,Halictus rubicundus,f,n,y,1,NA,87,Ranunculaceae,Ranunculus,Ranunculus repens,
2,killarney,5.28.2021,,Halictus rubicundus,f,n,y,3,NA,88,Ranunculaceae,Ranunculus,Ranunculus repens,
2,killarney,5.28.2021,,Bombus mixtus,f,n,y,4,NA,89,Fabaceae,Trifolium,Trifolium repens,
2,killarney,5.28.2021,,Bombus vosnesenskii,NA,n,n,5,NA,90,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,killarney,5.28.2021,,Bombus vosnesenskii,f,n,y,6,NA,91,Fabaceae,Trifolium,Trifolium repens,
2,killarney,5.28.2021,,Bombus vosnesenskii,NA,n,n,7,NA,92,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
