pollinator_species,plant_family,plant_species,location_name,date,ecosystem
Bombylius_major,Berberidaceae,Mahonia_aquifolium,cr1,5/5/2009,Oak Savannah
Bombylius_major,Berberidaceae,Mahonia_aquifolium,cr1,5/5/2009,Oak Savannah
Symphyta_sp_1,Celastraceae,Pachistima_myrsinites,cr1,5/5/2009,Oak Savannah
Melanostoma_mellinum,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Cheilosia_rita,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Cheilosia_rita,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Sphaerophoria_philanthus,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Epalpus_signifer,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/5/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/5/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/5/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/5/2009,Oak Savannah
Bombylius_major,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/5/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/5/2009,Oak Savannah
Bombus_melanopygus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/12/2009,Oak Savannah
Bombus_mixtus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/12/2009,Oak Savannah
Bombylius_major,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/12/2009,Oak Savannah
Bombylius_major,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/12/2009,Oak Savannah
Bombylius_major,Ranunculaceae,Ranunculus_occidentalis,cr1,5/12/2009,Oak Savannah
Bombylius_major,Ranunculaceae,Ranunculus_occidentalis,cr1,5/12/2009,Oak Savannah
Cheilosia_rita,Ranunculaceae,Ranunculus_occidentalis,cr1,5/12/2009,Oak Savannah
Eupeodes_sp_1,Liliaceae,Fritillaria_affinis,cr1,5/12/2009,Oak Savannah
Bombylius_major,Plantaginaceae,Collinsia_parviflora,cr1,5/12/2009,Oak Savannah
Bombylius_major,Plantaginaceae,Collinsia_parviflora,cr1,5/12/2009,Oak Savannah
Sphaerophoria_philanthus,Ranunculaceae,Ranunculus_occidentalis,cr1,5/12/2009,Oak Savannah
Cheilosia_rita,Ranunculaceae,Ranunculus_occidentalis,cr1,5/12/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/12/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/12/2009,Oak Savannah
Eupeodes_latifasciatus,Apiaceae,Lomatium_utriculatum,cr1,5/24/2009,Oak Savannah
Sphaerophoria_philanthus,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Bombylius_major,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Lasioglossum_sp_6,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Melanostoma_mellinum,Ranunculaceae,Ranunculus_occidentalis,cr1,5/5/2009,Oak Savannah
Bombus_melanopygus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Osmia_tristella,Rosaceae,Fragaria_virginiana,cr1,5/24/2009,Oak Savannah
Bombylius_major,Rosaceae,Fragaria_virginiana,cr1,5/24/2009,Oak Savannah
Sphaerophoria_philanthus,Rosaceae,Fragaria_virginiana,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Osmia_tristella,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
