YEAR,SAMPLING_ROUND,DATE,SITE,SPECIES,NUM_FLORAL_UNITS
1,2,5.17.2021,balaclava,Bellis perennis,15
1,2,5.17.2021,balaclava,Stellaria media,18
1,2,5.17.2021,balaclava,Trifolium dubium,81
1,2,5.17.2021,balaclava,Trifolium repens,1
1,2,5.20.2021,bobolink,Bellis perennis,1234
1,2,5.20.2021,bobolink,Cerastium glomeratum,67
1,2,5.20.2021,bobolink,Ranunculus repens,43
1,2,5.20.2021,bobolink,Taraxacum officinale,1
1,2,5.20.2021,bobolink,Trifolium dubium,208
1,2,5.20.2021,bobolink,Trifolium repens,20
1,2,5.20.2021,bobolink,Veronica arvensis,17
1,2,5.18.2021,china creek,Cheiranthus allionii,39
1,2,5.18.2021,china creek,Lobularia maritima,4
1,2,5.18.2021,china creek,Ranunculus repens,1026
1,2,5.18.2021,china creek,Taraxacum officinale,8
1,2,5.20.2021,falaise,Bellis perennis,159
1,2,5.20.2021,falaise,Cerastium glomeratum,4
1,2,5.20.2021,falaise,Fragaria x ananassa,1
1,2,5.20.2021,falaise,Ranunculus repens,28
1,2,5.20.2021,falaise,Trifolium dubium,27
1,2,5.20.2021,falaise,Trifolium repens,1
1,2,5.19.2021,gordon,Bellis perennis,209
1,2,5.19.2021,gordon,Taraxacum officinale,2
1,2,5.19.2021,gordon,Trifolium dubium,231
1,2,5.19.2021,gordon,Trifolium repens,7
1,2,5.18.2021,kensington,Bellis perennis,28
1,2,5.18.2021,kensington,Capsella bursa-pastoris,2
1,2,5.18.2021,kensington,Taraxacum officinale,1
1,2,5.18.2021,kensington,Trifolium repens,1
1,2,5.19.2021,killarney,Bellis perennis,8
1,2,5.19.2021,killarney,Nemophila menziesii,16
1,2,5.19.2021,killarney,Ranunculus repens,5
1,2,5.19.2021,killarney,Taraxacum officinale,1
1,2,5.17.2021,locarno,Capsella bursa-pastoris,91
1,2,5.17.2021,locarno,Trifolium dubium,451
1,2,5.17.2021,locarno,Trifolium repens,2
1,2,5.17.2021,locarno,Veronica arvensis,37
1,2,5.19.2021,moberly,Bellis perennis,552
1,2,5.19.2021,moberly,Capsella bursa-pastoris,46
1,2,5.19.2021,moberly,Cerastium glomeratum,11
1,2,5.19.2021,moberly,Erodium cicutarium,9
1,2,5.19.2021,moberly,Taraxacum officinale,2
1,2,5.19.2021,moberly,Trifolium dubium,1227
1,2,5.19.2021,moberly,Trifolium repens,62
1,2,5.19.2021,oak meadows,Ranunculus repens,31
1,2,5.19.2021,oak meadows,Stellaria media,68
1,2,5.19.2021,oak meadows,Trifolium dubium,5
1,2,5.19.2021,prince of wales,Ranunculus repens,2
1,2,5.19.2021,queen elizabeth,Bellis perennis,3678
1,2,5.19.2021,queen elizabeth,Trifolium dubium,36
1,2,5.19.2021,quilchena,Ranunculus repens,33
1,2,5.19.2021,quilchena,Trifolium dubium,19
1,2,5.19.2021,quilchena,Trifolium repens,3
1,2,5.19.2021,rupert,Bellis perennis,552
1,2,5.19.2021,rupert,Cerastium glomeratum,212
1,2,5.19.2021,rupert,Ranunculus repens,1
1,2,5.19.2021,rupert,Taraxacum officinale,1
1,2,5.18.2021,rupert,Trifolium dubium,5
1,2,5.18.2021,rupert,Veronica arvensis,3
1,2,5.18.2021,slocan,Bellis perennis,95
1,2,5.18.2021,slocan,Cerastium glomeratum,17
1,2,5.18.2021,slocan,Ranunculus repens,2
1,2,5.18.2021,slocan,Trifolium dubium,4
1,2,5.18.2021,slocan,Trifolium repens,97
1,2,5.17.2021,memorial south,Anthriscus caucalis,920
1,2,5.17.2021,memorial south,Capsella bursa-pastoris,56
1,2,5.17.2021,memorial south,Cheiranthus allionii,55
1,2,5.17.2021,memorial south,Fumaria officinalis,43
1,2,5.18.2021,memorial south,Geranium molle,6
1,2,5.18.2021,memorial south,Geranium robertianum,2
1,2,5.17.2021,memorial south,Hesperis matronalis,184
1,2,5.17.2021,memorial south,Hyacinthoides non-scripta,88
1,2,5.17.2021,memorial south,Lamium purpureum,51
1,2,5.18.2021,memorial south,Linum lewisii,3
1,2,5.18.2021,memorial south,Lupinus polyphyllus,6
1,2,5.18.2021,memorial south,Nemophila menziesii,124
1,2,5.18.2021,memorial south,Papaver sp.,1
1,2,5.18.2021,memorial south,Ranunculus repens,81
1,2,5.18.2021,memorial south,Senecio vulgaris,17
1,2,5.20.2021,memorial south,Sisymbrium officinale,170
1,2,5.20.2021,memorial south,Sonchus arvensis,2
1,2,5.20.2021,memorial south,Taraxacum officinale,1
1,2,5.20.2021,memorial south,Trifolium repens,194
1,2,5.20.2021,memorial south,Vicia hirsuta,336
1,2,5.17.2021,west memorial,Bellis perennis,467
1,2,5.17.2021,west memorial,Ranunculus repens,1
1,2,5.17.2021,west memorial,Stellaria media,2
1,2,5.17.2021,west memorial,Trifolium dubium,3
1,2,5.17.2021,winona,Bellis perennis,79
1,2,5.17.2021,winona,Cerastium glomeratum,101
1,2,5.17.2021,winona,Taraxacum officinale,1
1,2,5.17.2021,winona,Trifolium dubium,330
1,2,5.17.2021,winona,Trifolium repens,5
1,2,5.17.2021,winona,Veronica arvensis,8
1,3,6.3.2021,balaclava,Trifolium dubium,291
1,3,6.3.2021,balaclava,Trifolium repens,107
1,3,6.3.2021,balaclava,Veronica arvensis,9
1,3,6.2.2021,bobolink,Bellis perennis,780
1,3,6.2.2021,bobolink,Cerastium glomeratum,23
1,3,6.2.2021,bobolink,Ranunculus repens,177
1,3,6.2.2021,bobolink,Trifolium dubium,644
1,3,6.2.2021,bobolink,Trifolium repens,377
1,3,6.2.2021,bobolink,Veronica arvensis,1
1,3,6.2.2021,china creek,Brassica sp.,121
1,3,6.2.2021,china creek,Cheiranthus allionii,84
1,3,6.2.2021,china creek,Dianthus barbatus,4
1,3,6.2.2021,china creek,Eschscholzia californica,61
1,3,6.2.2021,china creek,Limnanthes douglasii,165
1,3,6.2.2021,china creek,Lupinus polyphyllus,68
1,3,6.2.2021,china creek,Papaver sp.,3
1,3,6.2.2021,china creek,Ranunculus acris,135
1,3,6.2.2021,china creek,Ranunculus repens,1065
1,3,6.2.2021,china creek,Solanum dulcamara,6
