site,latitude,longitude,category,mean_herb_scaled,mean_woody_scaled,mean_woody_scaled_signif,mean_herb,mean_woody,imp_standardized,canopy_standardized,imp_standardized_round,canopy_standardized_round
balaclava,49.244985,-123.175155,control,-1.105031032,0.50862944,0.509,3.799243287,2.501127787,0.464835366,0.412460752,47%,41%
bobolink,49.215025,-123.056931,control,0.129190042,-0.764155207,-0.764,5.369693607,0.503103327,0.70908952,0.160689113,71%,16%
china creek,49.264879,-123.084511,herbaceous_enhancement,1.529200736,-1.084642871,-1.085,7.151098323,0,0.747014179,0.182934745,75%,18%
falaise,49.255936,-123.031823,herbaceous_enhancement,0.089754251,2.181936508,2.182,5.31951463,5.127894583,0.836489013,0.076588479,84%,8%
gordon,49.223993,-123.069652,control,-0.438913342,-0.896066105,-0.896,4.646826237,0.296028862,0.810800813,0.093827687,81%,9%
kensington,49.237722,-123.075896,control,-1.323578865,0.107132424,0.107,3.521158168,1.870855525,0.832518133,0.102409851,83%,10%
killarney,49.227468,-123.046616,herbaceous_enhancement,1.269862777,-0.62279499,-0.623,6.821110941,0.725011387,0.764377985,0.113166368,76%,11%
locarno,49.273942,-123.206008,herbaceous_enhancement,-1.375085068,1.558609081,1.559,3.455620531,4.149391701,0.459839893,0.340034393,46%,34%
memorial south,49.229356,-123.084828,herbaceous_enhancement,1.857568314,0.041000352,0.041,7.568920526,1.767041027,0.735770891,0.14939453,74%,15%
moberly,49.215687,-123.086136,control,0.52043641,0.472802607,0.473,5.86752418,2.444886623,0.884154029,0.057059554,88%,6%
oak meadows,49.238607,-123.126438,herbaceous_enhancement,0.407669064,0.936174232,0.936,5.724036502,3.172289993,0.590731696,0.258525639,59%,26%
prince of wales,49.243958,-123.158084,herbaceous_enhancement,-0.626288993,-0.730498712,-0.73,4.408405296,0.555937481,0.492274748,0.32083974,49%,32%
queen elizabeth,49.239962,-123.115163,herbaceous_enhancement,0.251188114,0.435508791,0.436,5.524926664,2.386342582,0.55288124,0.243658905,55%,24%
quilchena,49.242885,-123.148097,control,-0.518926129,-0.420931885,-0.421,4.545016189,1.041897219,0.394794625,0.468552843,40%,47%
rupert,49.271477,-123.033221,control,0.082463879,-1.084642871,-1.085,5.310238198,0,0.736107415,0.153373626,74%,15%
slocan,49.243948,-123.04851,control,-0.006256891,-0.660795543,-0.661,5.197347919,0.665357906,0.755532663,0.177205547,76%,18%
west memorial,49.243227,-123.189281,herbaceous_enhancement,-0.103850719,0.816842002,0.817,5.073167364,2.98496159,0.397874894,0.487312171,40%,49%
winona,49.215981,-123.113777,control,-0.639402549,-0.794107252,-0.794,4.391719315,0.45608444,0.658287917,0.154457237,66%,15%
