site,latitude,longitude,category,mean_herb_scaled,mean_woody_scaled,mean_herb,mean_woody
balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787
bobolink,49.215025, -123.056931,comparison,0.129190042,-0.764155207,5.369693607,0.503103327
china creek,49.264879,-123.084511,meadow,1.529200736,-1.084642871,7.151098323,0
falaise,49.255936,-123.031823,meadow,0.089754251,2.181936508,5.31951463,5.127894583
gordon,49.223993,-123.069652,comparison,-0.438913342,-0.896066105,4.646826237,0.296028862
kensington,49.237722,-123.075896,comparison,-1.323578865,0.107132424,3.521158168,1.870855525
killarney,49.227468,-123.046616,meadow,1.269862777,-0.62279499,6.821110941,0.725011387
locarno,49.273942,-123.206008,meadow,-1.375085068,1.558609081,3.455620531,4.149391701
memorial south,49.229356,-123.084828,meadow,1.857568314,0.041000352,7.568920526,1.767041027
moberly,49.215687,-123.086136,comparison,0.52043641,0.472802607,5.86752418,2.444886623
oak meadows,49.238607,-123.126438,meadow,0.407669064,0.936174232,5.724036502,3.172289993
prince of wales,49.243958,-123.158084,meadow,-0.626288993,-0.730498712,4.408405296,0.555937481
queen elizabeth,49.239962,-123.115163,meadow,0.251188114,0.435508791,5.524926664,2.386342582
quilchena,49.242885,-123.148097,comparison,-0.518926129,-0.420931885,4.545016189,1.041897219
rupert,49.271477,-123.033221,comparison,0.082463879,-1.084642871,5.310238198,0
slocan,49.243948,-123.04851,comparison,-0.006256891,-0.660795543,5.197347919,0.665357906
west memorial,49.243227,-123.189281,meadow,-0.103850719,0.816842002,5.073167364,2.98496159
winona,49.215981,-123.113777,comparison,-0.639402549,-0.794107252,4.391719315,0.45608444
