"","site","latitude","longitude","category","mean_herb_scaled","mean_woody_scaled"
"7","balaclava",49.244985,"-123.175155","comparison",-1.10503103203181,0.508629440173217
"4","bobolink",49.215025," -123.056931","comparison",0.129190041971265,-0.764155207281199
"18","china creek",49.264879,"-123.084511","meadow",1.52920073615438,-1.08464287068033
"10","falaise",49.255936,"-123.031823","meadow",0.0897542513528587,2.18193650778988
"3","gordon",49.223993,"-123.069652","comparison",-0.438913341788097,-0.896066104856445
"1","kensington",49.237722,"-123.075896","comparison",-1.32357886453805,0.107132424281216
"15","killarney",49.227468,"-123.046616","meadow",1.26986277695539,-0.622794990049692
"11","locarno",49.273942,"-123.206008","meadow",-1.37508506784836,1.55860908084742
"14","memorial south",49.229356,"-123.084828","meadow",1.85756831429315,0.0410003515037553
"2","moberly",49.215687,"-123.086136","comparison",0.520436410433384,0.472802606578035
"13","oak meadows",49.238607,"-123.126438","meadow",0.407669063954364,0.936174231727767
"16","prince of wales",49.243958,"-123.158084","meadow",-0.626288992721756,-0.730498712116008
"12","queen elizabeth",49.239962,"-123.115163","meadow",0.251188113758524,0.435508790691158
"9","quilchena",49.242885,"-123.148097","comparison",-0.51892612936209,-0.420931884847445
"6","rupert",49.271477,"-123.033221","comparison",0.082463878695225,-1.08464287068033
"5","slocan",49.243948,"-123.04851","comparison",-0.00625689090173996,-0.660795543391446
"17","west memorial",49.243227,"-123.189281","meadow",-0.10385071894994,0.816842001818335
"8","winona",49.215981,"-123.113777","comparison",-0.639402549426685,-0.794107251507884
