species,clade,total_captures,phenology_peak,phenology_decay,pollen_specialization,degree,normalised_degree,d,degree_scaled,normalised_degree_scaled,d_scaled
Agapostemon texanus,Anthophila,,,,,24,0.2,0.141015773,1.688470526,1.688470526,-0.951451387
Andrena angustitarsata,Anthophila,,,,,9,0.075,0.327689036,0.039051662,0.039051662,0.242250979
Andrena crataegi,Anthophila,,,,,8,0.066666667,0.595580015,-0.070909596,-0.070909596,1.955308812
Andrena cressonii,Anthophila,,,,,9,0.075,0.319567958,0.039051662,0.039051662,0.190319865
Andrena frigida,Anthophila,,,,Salix; also Rosaceae according to The Solitary Bees,8,0.066666667,0.322374665,-0.070909596,-0.070909596,0.20826766
Andrena milwaukeensis,Anthophila,,,,,4,0.033333333,0.468231021,-0.510754627,-0.510754627,1.140961894
Andrena miranda,Anthophila,,,,,2,0.016666667,0.252287611,-0.730677142,-0.730677142,-0.239911588
Andrena miserabilis,Anthophila,,,,,21,0.175,0.59513769,1.358586753,1.358586753,1.952480314
Andrena nigrihirta,Anthophila,,,,,1,0.008333333,0.09099733,-0.8406384,-0.8406384,-1.27129973
Andrena nivalis,Anthophila,,,,,7,0.058333333,0.416288717,-0.180870854,-0.180870854,0.808811219
Andrena prunorum,Anthophila,,,,,13,0.108333333,0.269507964,0.478896692,0.478896692,-0.129794179
Andrena rufosignata,Anthophila,,,,,3,0.025,0.392481912,-0.620715884,-0.620715884,0.656576026
Andrena saliciflorus,Anthophila,,,,Salix,11,0.091666667,0.31553479,0.258974177,0.258974177,0.164529334
Andrena subtilis,Anthophila,,,,,3,0.025,0.297321379,-0.620715884,-0.620715884,0.048061711
Andrena vicina,Anthophila,,,,,5,0.041666667,0.226276137,-0.400793369,-0.400793369,-0.406244769
Andrena vicinoides,Anthophila,,,,,16,0.133333333,0.280379507,0.808780465,0.808780465,-0.060274922
Andrena w-scripta,Anthophila,,,,,6,0.05,0.349737721,-0.290832111,-0.290832111,0.38324368
Anthidium manicatum,Anthophila,,,,,10,0.083333333,0.289090691,0.149012919,0.149012919,-0.004570314
Anthidium oblongatum,Anthophila,,,,,12,0.1,0.437276855,0.368935435,0.368935435,0.943022136
Atoposmia sp.,Anthophila,,,,,2,0.016666667,0.082771695,-0.730677142,-0.730677142,-1.32389944
Bombus fervidus (californicus),Anthophila,,,,,2,0.016666667,0.404111392,-0.730677142,-0.730677142,0.730941994
Bombus flavifrons,Anthophila,,,,,22,0.183333333,0.375256276,1.468548011,1.468548011,0.546424838
Bombus impatiens,Anthophila,,,,,31,0.258333333,0.207853585,2.45819933,2.45819933,-0.524049771
Bombus insularis,Anthophila,,,,,2,0.016666667,0.059894139,-0.730677142,-0.730677142,-1.47019245
Bombus melanopygus,Anthophila,,,,,14,0.116666667,0.240117537,0.58885795,0.58885795,-0.317734441
Bombus mixtus,Anthophila,,,,,35,0.291666667,0.293384627,2.89804436,2.89804436,0.022887724
Bombus nevadensis,Anthophila,,,,,3,0.025,0.538214736,-0.620715884,-0.620715884,1.588480329
Bombus rufocinctus,Anthophila,,,,,11,0.091666667,0.118858293,0.258974177,0.258974177,-1.093139786
Bombus sitkensis,Anthophila,,,,,3,0.025,0.46821895,-0.620715884,-0.620715884,1.140884707
Bombus vosnesenskii,Anthophila,,,,,56,0.466666667,0.329665504,5.207230771,5.207230771,0.254889717
Ceratina acantha,Anthophila,,,,,11,0.091666667,0.237871483,0.258974177,0.258974177,-0.332097078
Coelioxys sp.,Anthophila,,,,,4,0.033333333,0.328260116,-0.510754627,-0.510754627,0.24590281
Colletes fulgidus,Anthophila,,,,Asteraceae,1,0.008333333,0.125944245,-0.8406384,-0.8406384,-1.047827904
Halictus confusus,Anthophila,,,,,35,0.291666667,0.145357912,2.89804436,2.89804436,-0.923685108
Halictus rubicundus,Anthophila,,,,,28,0.233333333,0.179571962,2.128315557,2.128315557,-0.70489967
Heriades carinata,Anthophila,,,,,5,0.041666667,0.334839374,-0.400793369,-0.400793369,0.287974589
Hylaeus modestus,Anthophila,,,,,2,0.016666667,0.277539378,-0.730677142,-0.730677142,-0.078436432
Hylaeus punctatus,Anthophila,,,,,9,0.075,0.696956335,0.039051662,0.039051662,2.603570647
Lasioglossum (Sphecodogastra) sp.,Anthophila,,,,,7,0.058333333,0.244817014,-0.180870854,-0.180870854,-0.287683128
Lasioglossum cressonii,Anthophila,,,,,14,0.116666667,0.250778609,0.58885795,0.58885795,-0.249561066
Lasioglossum egregium,Anthophila,,,,,1,0.008333333,0.179311409,-0.8406384,-0.8406384,-0.706565804
Lasioglossum inconditum,Anthophila,,,,,11,0.091666667,0.387213299,0.258974177,0.258974177,0.622885313
Lasioglossum knereri,Anthophila,,,,,19,0.158333333,0.155982964,1.138664238,1.138664238,-0.855742068
Lasioglossum laevissimum,Anthophila,,,,,12,0.1,0.185390256,0.368935435,0.368935435,-0.66769396
Lasioglossum nevadense,Anthophila,,,,,2,0.016666667,0.122954888,-0.730677142,-0.730677142,-1.066943669
Lasioglossum pacatum,Anthophila,,,,,23,0.191666667,0.145632489,1.578509269,1.578509269,-0.9219293
Lasioglossum pacificum,Anthophila,,,,,12,0.1,0.310074614,0.368935435,0.368935435,0.129613651
Lasioglossum planatum,Anthophila,,,,,1,0.008333333,0.124264247,-0.8406384,-0.8406384,-1.058570833
Lasioglossum ruidosense,Anthophila,,,,,5,0.041666667,0.208405585,-0.400793369,-0.400793369,-0.520519947
Lasioglossum subversans,Anthophila,,,,,2,0.016666667,0.424362178,-0.730677142,-0.730677142,0.860437838
Lasioglossum titusii,Anthophila,,,,,1,0.008333333,0.199774295,-0.8406384,-0.8406384,-0.575713667
Lasioglossum zonulum,Anthophila,,,,,11,0.091666667,0.285443634,0.258974177,0.258974177,-0.027891813
Megachile angelarum,Anthophila,,,,,4,0.033333333,0.480407777,-0.510754627,-0.510754627,1.21882748
Megachile frigida,Anthophila,,,,,11,0.091666667,0.330411659,0.258974177,0.258974177,0.259661085
Megachile gemula,Anthophila,,,,,6,0.05,0.362862482,-0.290832111,-0.290832111,0.467171383
Megachile inermis,Anthophila,,,,,3,0.025,0.460353872,-0.620715884,-0.620715884,1.090590615
Megachile melanophaea,Anthophila,,,,Fabaceae,5,0.041666667,0.348390988,-0.400793369,-0.400793369,0.374631851
Megachile mendica,Anthophila,,,,,7,0.058333333,0.271648078,-0.180870854,-0.180870854,-0.116108988
Megachile montivaga,Anthophila,,,,,1,0.008333333,0.09099733,-0.8406384,-0.8406384,-1.27129973
Megachile perihirta,Anthophila,,,,Asteraceae; Fabaceae,6,0.05,0.201788581,-0.290832111,-0.290832111,-0.562833099
Megachile relativa,Anthophila,,,,,4,0.033333333,0.236338873,-0.510754627,-0.510754627,-0.341897519
