clade,species_names,total_detections,phenology_peak_mean_estimate,phenology_decay_mean_estimate,degree,normalised.degree,d,degree_scaled,normalised.degree_scaled,d_scaled,degree_supplemented,normalised.degree_supplemented,d_supplemented,degree_scaled_supplemented,normalised.degree_scaled_supplemented,d_scaled_supplemented,degree_supplemented_genus,normalised.degree_supplemented_genus,d_supplemented_genus,degree_scaled_supplemented_genus,normalised.degree_scaled_supplemented_genus,d_scaled_supplemented_genus
Anthophila,Agapostemon texanus,107,0.327938297,-0.043536705,24,0.2,0.141027827,1.698636122,1.698636122,-0.963813305,36,0.094488189,0.255555053,0.385004137,0.385004137,-0.431988629,32,0.120754717,0.236115631,0.444196077,0.444196077,-0.458006344
Anthophila,Andrena angustitarsata,24,-2.265159475,-0.764507587,9,0.075,0.327716352,0.046901117,0.046901117,0.24036259,36,0.094488189,0.771955768,0.385004137,0.385004137,3.284198347,29,0.109433962,0.759458002,0.324362997,0.324362997,3.660953096
Anthophila,Andrena crataegi,13,-0.974205232,-0.926585885,8,0.066666667,0.595595558,-0.06321455,-0.06321455,1.968233565,10,0.026246719,0.582150007,-0.458281056,-0.458281056,1.918294549,8,0.030188679,0.567065755,-0.514468562,-0.514468562,2.146732375
Anthophila,Andrena cressonii,25,-2.297255034,-0.442135603,9,0.075,0.319598787,0.046901117,0.046901117,0.188002782,15,0.039370079,0.302522445,-0.296110826,-0.296110826,-0.093996049,12,0.045283019,0.278907228,-0.354691123,-0.354691123,-0.121215629
Anthophila,Andrena frigida,16,-1.666430134,-0.119538258,8,0.066666667,0.322402452,-0.06321455,-0.06321455,0.206086941,9,0.023622047,0.355187188,-0.490715101,-0.490715101,0.284996516,9,0.033962264,0.348491455,-0.474524202,-0.474524202,0.426446143
Anthophila,Andrena milwaukeensis,4,-1.052959336,-0.438436562,4,0.033333333,0.468247774,-0.503677217,-0.503677217,1.146816546,7,0.018372703,0.456445351,-0.555583193,-0.555583193,1.013683088,7,0.026415094,0.347594985,-0.554412922,-0.554412922,0.419390483
Anthophila,Andrena miranda,3,-0.124846038,-1.122073936,2,0.016666667,0.252274825,-0.723908551,-0.723908551,-0.246249363,3,0.007874016,0.258007051,-0.685319377,-0.685319377,-0.414343259,3,0.011320755,0.260162918,-0.714190362,-0.714190362,-0.268742483
Anthophila,Andrena miserabilis,57,-3.176097632,-0.416488339,21,0.175,0.595164385,1.368289121,1.368289121,1.965452419,20,0.052493438,0.698597315,-0.133940597,-0.133940597,2.756287135,14,0.052830189,0.692793482,-0.274802403,-0.274802403,3.136270842
Anthophila,Andrena nigrihirta,1,0.609899343,-0.991078773,1,0.008333333,0.091125604,-0.834024218,-0.834024218,-1.285691978,1,0.002624672,0.031138327,-0.750187468,-0.750187468,-2.046964156,1,0.003773585,0.09169436,-0.794079082,-0.794079082,-1.594672114
Anthophila,Andrena nivalis,12,-2.129126409,-0.518249175,7,0.058333333,0.416309306,-0.173330217,-0.173330217,0.811803714,23,0.060367454,0.315009622,-0.036638459,-0.036638459,-0.004134273,17,0.064150943,0.300474528,-0.154969323,-0.154969323,0.048529527
Anthophila,Andrena prunorum,21,0.278502678,-0.399995778,13,0.108333333,0.269536027,0.487363785,0.487363785,-0.134911383,23,0.060367454,0.30274522,-0.036638459,-0.036638459,-0.092392887,23,0.086792453,0.286760612,0.084696837,0.084696837,-0.059405669
Anthophila,Andrena rufosignata,3,1.311787272,-0.974244297,3,0.025,0.3925127,-0.613792884,-0.613792884,0.658311153,7,0.018372703,0.466923417,-0.555583193,-0.555583193,1.089086648,7,0.026415094,0.449101411,-0.554412922,-0.554412922,1.218295512
Anthophila,Andrena saliciflorus,23,-2.268608797,-0.594166201,11,0.091666667,0.315561095,0.267132451,0.267132451,0.161958909,11,0.028871391,0.383286941,-0.42584701,-0.42584701,0.487211449,9,0.033962264,0.314870932,-0.474524202,-0.474524202,0.161836242
Anthophila,Andrena subtilis,3,-1.149153879,-0.729350497,3,0.025,0.29735699,-0.613792884,-0.613792884,0.04453903,21,0.05511811,0.290668457,-0.101506551,-0.101506551,-0.179301194,19,0.071698113,0.27817537,-0.075080603,-0.075080603,-0.12697571
Anthophila,Andrena vicina,6,-1.109568516,-0.763074215,5,0.041666667,0.226270097,-0.39356155,-0.39356155,-0.413984724,6,0.015748031,0.249520883,-0.588017239,-0.588017239,-0.475412474,6,0.022641509,0.187937265,-0.594357282,-0.594357282,-0.837193557
Anthophila,Andrena vicinoides,27,-1.659057498,-1.191471781,16,0.133333333,0.280400325,0.817710786,0.817710786,-0.064834634,30,0.078740157,0.190893464,0.190399862,0.190399862,-0.897314388,24,0.090566038,0.154822813,0.124641197,0.124641197,-1.09782043
Anthophila,Andrena w-scripta,15,-1.833748544,-0.591661058,6,0.05,0.349761689,-0.283445883,-0.283445883,0.38255914,15,0.039370079,0.280525684,-0.296110826,-0.296110826,-0.252291877,15,0.056603774,0.240198662,-0.234858043,-0.234858043,-0.4258709
Anthophila,Anthidium manicatum,24,1.658170707,-1.528456204,10,0.083333333,0.28905768,0.157016784,0.157016784,-0.008993071,44,0.115485564,0.594276928,0.644476504,0.644476504,2.005563804,41,0.154716981,0.571253222,0.803695317,0.803695317,2.17968978
Anthophila,Anthidium oblongatum,59,2.960071133,-1.948973218,12,0.1,0.437159155,0.377248118,0.377248118,0.946289139,12,0.031496063,0.492635924,-0.393412964,-0.393412964,1.274122184,10,0.037735849,0.460444702,-0.434579843,-0.434579843,1.30757274
Anthophila,Bombus fervidus (californicus),2,1.104615846,-0.846397016,2,0.016666667,0.404155443,-0.723908551,-0.723908551,0.733409024,77,0.202099738,0.375802989,1.714800018,1.714800018,0.433354502,67,0.252830189,0.331801426,1.842248677,1.842248677,0.29508748
Anthophila,Bombus flavifrons,79,0.417248489,-1.262802617,22,0.183333333,0.37758127,1.478404788,1.478404788,0.562000635,125,0.32808399,0.380199089,3.27163422,3.27163422,0.464990263,95,0.358490566,0.337670666,2.960690757,2.960690757,0.341281259
Anthophila,Bombus impatiens,99,1.917048919,-0.138838219,31,0.258333333,0.207803003,2.46944579,2.46944579,-0.533100932,49,0.128608924,0.294333898,0.806646734,0.806646734,-0.152923492,41,0.154716981,0.273879586,0.803695317,0.803695317,-0.160785621
Anthophila,Bombus insularis,3,1.446199021,-0.841952254,2,0.016666667,0.111346344,-0.723908551,-0.723908551,-1.155264424,2,0.005249344,0.115622451,-0.717753423,-0.717753423,-1.438989005,2,0.00754717,0.119523358,-0.754134722,-0.754134722,-1.375644341
Anthophila,Bombus melanopygus,31,-1.848418733,-1.481635563,14,0.116666667,0.237673415,0.597479452,0.597479452,-0.34043119,98,0.257217848,0.287147722,2.395914981,2.395914981,-0.204637544,80,0.301886792,0.268023952,2.361525357,2.361525357,-0.206872313
Anthophila,Bombus mixtus,110,0.374494153,-1.073173624,35,0.291666667,0.293292813,2.909908458,2.909908458,0.018324326,153,0.401574803,0.28255857,4.179787505,4.179787505,-0.237662568,117,0.441509434,0.248115895,3.839466677,3.839466677,-0.363558426
Anthophila,Bombus nevadensis,6,1.448159346,-0.608799523,3,0.025,0.538233662,-0.613792884,-0.613792884,1.598238607,3,0.007874016,0.585259965,-0.685319377,-0.685319377,1.940674816,3,0.011320755,0.366119966,-0.714190362,-0.714190362,0.56519111
Anthophila,Bombus rufocinctus,29,1.04970061,-0.231421129,11,0.091666667,0.118801618,0.267132451,0.267132451,-1.107176513,12,0.031496063,0.224846142,-0.393412964,-0.393412964,-0.652979908,10,0.037735849,0.200558417,-0.434579843,-0.434579843,-0.737858943
Anthophila,Bombus sitkensis,3,-0.286879342,-0.133788372,3,0.025,0.468195221,-0.613792884,-0.613792884,1.146477568,9,0.023622047,0.169244728,-0.490715101,-0.490715101,-1.053105715,8,0.030188679,0.161164442,-0.514468562,-0.514468562,-1.047908721
Anthophila,Bombus vancouverensis,1,0.132774455,-1.167978542,1,0.008333333,0.305650676,-0.834024218,-0.834024218,0.098034856,84,0.220472441,0.340816985,1.941838339,1.941838339,0.181583876,73,0.275471698,0.309098119,2.081914837,2.081914837,0.116401389
Anthophila,Bombus vosnesenskii,214,1.731643436,-0.643440929,56,0.466666667,0.329484374,5.222337464,5.222337464,0.251766664,159,0.417322835,0.285589882,4.37439178,4.37439178,-0.215848265,130,0.490566038,0.250758001,4.358743356,4.358743356,-0.34276376
Anthophila,Ceratina acantha,11,-0.251295358,-0.405409082,11,0.091666667,0.237887536,0.267132451,0.267132451,-0.339050067,83,0.217847769,0.319105196,1.909404293,1.909404293,0.025338803,65,0.245283019,0.289093878,1.762359957,1.762359957,-0.041041733
Anthophila,Coelioxys sp.,6,1.844380827,-0.821160873,4,0.033333333,0.328278048,-0.503677217,-0.503677217,0.243985635,5,0.01312336,0.308673363,-0.620451285,-0.620451285,-0.04973205,5,0.018867925,0.238410897,-0.634301642,-0.634301642,-0.439941488
Anthophila,Colletes fulgidus,1,0.733392841,-0.954211417,1,0.008333333,0.126067587,-0.834024218,-0.834024218,-1.060309651,9,0.023622047,0.441831741,-0.490715101,-0.490715101,0.908518813,9,0.033962264,0.40645369,-0.474524202,-0.474524202,0.882637167
Syrphidae,Eristalinus aeneus,4,0.328282628,-0.464907777,4,0.033333333,0.067976583,-0.503677217,-0.503677217,-1.435007493,6,0.015748031,0.137842177,-0.588017239,-0.588017239,-1.279088654,6,0.022641509,0.1550152,-0.594357282,-0.594357282,-1.096306251
Syrphidae,Eristalis anthophorina,1,0.697627187,-0.946709388,1,0.008333333,0.305650676,-0.834024218,-0.834024218,0.098034856,1,0.002624672,0.350240726,-0.750187468,-0.750187468,0.249400172,1,0.003773585,0.391111444,-0.794079082,-0.794079082,0.761886223
Syrphidae,Eristalis arbustorum,62,1.905041427,-0.739409179,22,0.183333333,0.41240282,1.478404788,1.478404788,0.786606147,35,0.091863517,0.476471129,0.352570091,0.352570091,1.157795079,33,0.124528302,0.467899773,0.484140437,0.484140437,1.366247777
Syrphidae,Eristalis brousii,6,0.997356007,-0.52604739,3,0.025,0.219429573,-0.613792884,-0.613792884,-0.458107383,7,0.018372703,0.293526465,-0.555583193,-0.555583193,-0.15873404,7,0.026415094,0.298076173,-0.554412922,-0.554412922,0.029653308
Syrphidae,Eristalis flavipes,1,1.056272515,-0.744448489,1,0.008333333,0.126067587,-0.834024218,-0.834024218,-1.060309651,1,0.002624672,0.159804293,-0.750187468,-0.750187468,-1.121042147,1,0.003773585,0.212653715,-0.794079082,-0.794079082,-0.642663057
Syrphidae,Eristalis hirta,1,0.724346837,-0.947988673,1,0.008333333,0.189136471,-0.834024218,-0.834024218,-0.653503559,1,0.002624672,0.241587795,-0.750187468,-0.750187468,-0.53250155,1,0.003773585,0.27688727,-0.794079082,-0.794079082,-0.13711368
Syrphidae,Eristalis stipator,1,1.001581359,-0.774872741,1,0.008333333,0.091125604,-0.834024218,-0.834024218,-1.285691978,1,0.002624672,0.031138327,-0.750187468,-0.750187468,-2.046964156,1,0.003773585,0.09169436,-0.794079082,-0.794079082,-1.594672114
Syrphidae,Eristalis tenax,10,0.12037323,-0.825863903,7,0.058333333,0.304351199,-0.173330217,-0.173330217,0.089652985,37,0.097112861,0.207531567,0.417438183,0.417438183,-0.777581206,34,0.128301887,0.205707149,0.524084797,0.524084797,-0.697335919
Syrphidae,Eritalis hirta,1,0.324276455,-1.053153085,1,0.008333333,0.126067587,-0.834024218,-0.834024218,-1.060309651,1,0.002624672,0.159804293,-0.750187468,-0.750187468,-1.121042147,1,0.003773585,0.212653715,-0.794079082,-0.794079082,-0.642663057
Syrphidae,Eumerus sp.,12,0.473161325,-0.388048443,8,0.066666667,0.278350702,-0.06321455,-0.06321455,-0.078055081,20,0.052493438,0.241933345,-0.133940597,-0.133940597,-0.53001486,18,0.067924528,0.194031626,-0.115024963,-0.115024963,-0.78922797
Syrphidae,Eupeodes fumipennis,47,0.275027304,-0.877514584,14,0.116666667,0.131740339,0.597479452,0.597479452,-1.02371934,14,0.036745407,0.226447451,-0.328544872,-0.328544872,-0.641456376,12,0.045283019,0.219726309,-0.354691123,-0.354691123,-0.586998298
Syrphidae,Eupeodes volucris,75,-0.326662291,-0.380113905,21,0.175,0.237203243,1.368289121,1.368289121,-0.343463886,38,0.099737533,0.27031175,0.449872229,0.449872229,-0.325794658,36,0.135849057,0.252230954,0.603973517,0.603973517,-0.331170904
Syrphidae,Fazia macrura,1,1.067559323,-0.750345259,1,0.008333333,0.799971805,-0.834024218,-0.834024218,3.286498575,2,0.005249344,0.503981966,-0.717753423,-0.717753423,1.355771983,2,0.00754717,0.527068589,-0.754134722,-0.754134722,1.831935192
Anthophila,Halictus confusus,70,0.37808794,-0.14433892,35,0.291666667,0.145375847,2.909908458,2.909908458,-0.935767762,77,0.202099738,0.222525149,1.714800018,1.714800018,-0.669682527,66,0.249056604,0.194243577,1.802304317,1.802304317,-0.787559816
Anthophila,Halictus rubicundus,88,-0.09406889,-0.682797753,28,0.233333333,0.179592153,2.13909879,2.13909879,-0.715066193,114,0.299212598,0.159755456,2.914859715,2.914859715,-1.121393594,95,0.358490566,0.141655122,2.960690757,2.960690757,-1.201456579
Syrphidae,Helophilus fasciatus,3,-0.166204091,-0.496703194,2,0.016666667,0.116508381,-0.723908551,-0.723908551,-1.12196832,2,0.005249344,0.165436962,-0.717753423,-0.717753423,-1.080507634,2,0.00754717,0.193151036,-0.754134722,-0.754134722,-0.796158646
Anthophila,Heriades carinata,6,1.670168674,-1.037430105,5,0.041666667,0.334866635,-0.39356155,-0.39356155,0.286483256,5,0.01312336,0.23828689,-0.620451285,-0.620451285,-0.556255934,5,0.018867925,0.179783057,-0.634301642,-0.634301642,-0.901371149
Syrphidae,Heringia morph1,2,0.379938334,-0.640467724,2,0.016666667,0.436505424,-0.723908551,-0.723908551,0.942072448,2,0.005249344,0.481818959,-0.717753423,-0.717753423,1.196279795,2,0.00754717,0.505937135,-0.754134722,-0.754134722,1.66562035
Syrphidae,Heringia morph2,1,1.145598344,-0.535332752,1,0.008333333,0.192739975,-0.834024218,-0.834024218,-0.630260282,1,0.002624672,0.224558058,-0.750187468,-0.750187468,-0.655053057,1,0.003773585,0.271722506,-0.794079082,-0.794079082,-0.177762891
Anthophila,Hylaeus modestus,2,0.613186937,-0.811987002,2,0.016666667,0.277592787,-0.723908551,-0.723908551,-0.082943779,17,0.044619423,0.307106658,-0.231242734,-0.231242734,-0.061006569,17,0.064150943,0.286723308,-0.154969323,-0.154969323,-0.059699275
Anthophila,Hylaeus punctatus,16,1.873161514,-0.787485747,9,0.075,0.696970065,0.046901117,0.046901117,2.622118094,9,0.023622047,0.692893138,-0.490715101,-0.490715101,2.715238024,9,0.033962264,0.683984123,-0.474524202,-0.474524202,3.066936895
Syrphidae,Lapposyrphus lapponicus,1,0.089467582,-1.066582893,1,0.008333333,0.358970549,-0.834024218,-0.834024218,0.441958006,7,0.018372703,0.197073393,-0.555583193,-0.555583193,-0.852841621,6,0.022641509,0.211039016,-0.594357282,-0.594357282,-0.655371526
Anthophila,Lasioglossum (Sphecodogastra) sp.,21,-0.141836866,-0.015848308,7,0.058333333,0.244849572,-0.173330217,-0.173330217,-0.294143638,7,0.018372703,0.251895797,-0.555583193,-0.555583193,-0.458321827,7,0.026415094,0.256330542,-0.554412922,-0.554412922,-0.298905151
Anthophila,Lasioglossum cressonii,30,-0.841909312,-0.439291521,14,0.116666667,0.250809332,0.597479452,0.597479452,-0.255702068,49,0.128608924,0.231708676,0.806646734,0.806646734,-0.60359489,42,0.158490566,0.203097078,0.843639677,0.843639677,-0.717878447
Anthophila,Lasioglossum egregium,1,-0.01639449,-1.035523776,1,0.008333333,0.17942722,-0.834024218,-0.834024218,-0.71613004,2,0.005249344,0.258623191,-0.717753423,-0.717753423,-0.409909315,2,0.00754717,0.272978431,-0.754134722,-0.754134722,-0.167878153
Anthophila,Lasioglossum inconditum,74,0.440533302,-0.19583512,11,0.091666667,0.38725078,0.267132451,0.267132451,0.624370782,11,0.028871391,0.401108216,-0.42584701,-0.42584701,0.615459119,11,0.041509434,0.404055811,-0.394635483,-0.394635483,0.863764697
Anthophila,Lasioglossum knereri,56,0.360265614,-0.776053878,19,0.158333333,0.156021642,1.148057787,1.148057787,-0.867100394,57,0.149606299,0.255341039,1.066119101,1.066119101,-0.433528746,49,0.18490566,0.2379001,1.123250197,1.123250197,-0.443961706
Anthophila,Lasioglossum laevissimum,20,0.071737308,-0.117672686,12,0.1,0.185418145,0.377248118,0.377248118,-0.677487452,47,0.12335958,0.329176498,0.741778642,0.741778642,0.097815155,44,0.166037736,0.291107686,0.923528397,0.923528397,-0.025192083
Anthophila,Lasioglossum nevadense,2,-0.56770061,-0.759846642,2,0.016666667,0.123019724,-0.723908551,-0.723908551,-1.079968936,37,0.097112861,0.244685107,0.417438183,0.417438183,-0.510212285,35,0.132075472,0.195006244,0.564029157,0.564029157,-0.781557252
Anthophila,Lasioglossum pacatum,40,0.0850676,-0.358590576,23,0.191666667,0.14566227,1.588520455,1.588520455,-0.933920281,64,0.167979003,0.260686549,1.293157422,1.293157422,-0.395060724,57,0.21509434,0.235601469,1.442805077,1.442805077,-0.462053052
Anthophila,Lasioglossum pacificum,21,-1.285074934,-1.286787271,12,0.1,0.310103979,0.377248118,0.377248118,0.126759494,34,0.089238845,0.231883852,0.320136045,0.320136045,-0.602334267,31,0.116981132,0.179205902,0.404251717,0.404251717,-0.905913644
